"filename", "language", "PHP", "Markdown", "JSON", "SCSS", "JavaScript", "CSS", "MS SQL", "comment", "blank", "total"
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\users\customer.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\build\js\users\employee.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\public\index.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 14, 31, 101
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\helper.js", "JavaScript", 0, 0, 0, 0, 77, 0, 0, 7, 28, 112
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\modernizr.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 2, 0, 3
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\searchbar.js", "JavaScript", 0, 0, 0, 0, 76, 0, 0, 4, 23, 103
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\svg.js", "JavaScript", 0, 0, 0, 0, 268, 0, 0, 50, 64, 382
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\table.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 10, 24, 94
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\users\admin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\users\customer.js", "JavaScript", 0, 0, 0, 0, 507, 0, 0, 39, 163, 709
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\js\users\employee.js", "JavaScript", 0, 0, 0, 0, 281, 0, 0, 5, 89, 375
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\app.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_globals.scss", "SCSS", 0, 0, 0, 46, 0, 0, 0, 0, 5, 51
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_index.scss", "SCSS", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_keen-slider.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_mixins.scss", "SCSS", 0, 0, 0, 66, 0, 0, 0, 1, 12, 79
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_normalize.scss", "SCSS", 0, 0, 0, 146, 0, 0, 0, 129, 75, 350
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_properties.scss", "SCSS", 0, 0, 0, 19, 0, 0, 0, 4, 5, 28
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_scrollbar.scss", "SCSS", 0, 0, 0, 15, 0, 0, 0, 3, 3, 21
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_typography.scss", "SCSS", 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\base\_utilities.scss", "SCSS", 0, 0, 0, 32, 0, 0, 0, 0, 9, 41
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_actions.scss", "SCSS", 0, 0, 0, 20, 0, 0, 0, 5, 5, 30
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_alerts.scss", "SCSS", 0, 0, 0, 38, 0, 0, 0, 0, 8, 46
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_appointment.scss", "SCSS", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_bar.scss", "SCSS", 0, 0, 0, 35, 0, 0, 0, 0, 9, 44
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\src\scss\components\_buttons.scss", "SCSS", 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
